Model,Input Size,Accuracy,Macro F1,Total Params,Trainable Params,Model Size (MB),Mean Latency (ms),Median Latency (ms),P95 Latency (ms)
FlexibleCNN2,128,[0.9615159630775452],[0.9644205570220947],267670,267670,1.0258855819702148,1.7066170345060527,1.6291874926537275,2.448579214978963
ResNet18,224,[0.9939042329788208],[0.9944335222244263],11196006,8413222,42.78376293182373,6.037270401138812,5.742437555454671,7.509671256411821
MobileNetV3,224,[0.9744505882263184],[0.9764193892478943],1556806,686246,6.064085960388184,6.337006753310561,6.336770951747894,6.546643760520965
